latorigem,lonorigem,ticketdate,tickettime,usercard,busid,cardtype,sense,valor,route,val,projectid,feed_id,typecard,latdestino,londestino,feed_idstop_id,company,periodrange,tickettimerange,trafficzoneidorign,trafficzoneiddestination,totalcapacity,ticketmonth,ticketdateusercardtickettime,grididorign,grididdestination,validationorder,travelleddistance,ticketdatetime,startoperation,endoperation,stop_idorigem,stop_iddestino,tickettimehour,motive,status
-19.440525,-44.341976,2023-07-26,06:26:36,1891222186,16212,URBANO - SENIOR, ,0.0,012,,688,2375594S47082P05:20:00,Gratuito Idoso,-19.476839,-44.264141,2375594S47082P05:20:006116426,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,06:00:00,85.0,39,0.0,7,2023-07-26189122218606:26:36,1KME6006N9148,200ME60148N91446,1,,2023-07-26 06:26:36,2023-07-26 04:30:00,2023-07-27 04:29:59,6116426.0,6352733.0,06,outros motivos,
-19.417295,-44.173588,2023-07-26,12:59:36,137812,14185,URBANO - CMT, ,0.0,034,,688,,Gratuito PCD,-19.462912,-44.245056,,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,12:30:00,105.0,1,0.0,7,2023-07-2613781212:59:36,1KME6024N9150,200ME60168N91462,1,,2023-07-26 12:59:36,2023-07-26 04:30:00,2023-07-27 04:29:59,,6116422.0,12,outros motivos,
-19.462912,-44.245056,2023-07-26,18:46:50,137812,14107,URBANO - CMT, ,0.0,034,,688,775916S47082P18:05:00,Gratuito PCD,-19.417295,-44.173588,775916S47082P18:05:006116422,,Pico Tarde,18:30:00,1.0,1,,7,2023-07-2613781218:46:50,200ME60168N91462,200ME60168N91462,2,,2023-07-26 18:46:50,2023-07-26 04:30:00,2023-07-27 04:29:59,6116422.0,6116422.0,18,casa,
-19.416826,-44.245968,2023-07-26,06:03:40,1378912597,11141,URBANO - VALE TRANSPORTE, ,4.25,001,,688,,Vale Transporte,-19.474428,-44.217064,,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,06:00:00,81.0,24,0.0,7,2023-07-26137891259706:03:40,200ME60170N91512,200ME60198N91448,1,,2023-07-26 06:03:40,2023-07-26 04:30:00,2023-07-27 04:29:59,,6116554.0,06,trabalho,
-19.474428,-44.217064,2023-07-26,17:03:12,1378912597,11141,URBANO - VALE TRANSPORTE, ,4.25,001,,688,794441S47082P17:00:00,Vale Transporte,-19.416826,-44.245968,794441S47082P17:00:006116554,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,17:00:00,24.0,24,0.0,7,2023-07-26137891259717:03:12,200ME60198N91448,200ME60198N91448,2,,2023-07-26 17:03:12,2023-07-26 04:30:00,2023-07-27 04:29:59,6116554.0,6116554.0,17,casa,
-21.214392,-47.225597,2023-07-26,07:20:08,1378914453,20016,URBANO - VALE TRANSPORTE, ,4.25,004,,688,,Vale Transporte,-19.462008,-44.241188,,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,07:00:00,,2,0.0,7,2023-07-26137891445307:20:08,,200ME60172N91462,1,,2023-07-26 07:20:08,2023-07-26 04:30:00,2023-07-27 04:29:59,,6116065.0,07,outros motivos,
-19.463041,-44.242073,2023-07-26,19:17:46,1378987045,1903,URBANO - VALE TRANSPORTE, ,4.25,005,,688,775956S47082P18:50:00,Vale Transporte,-19.473162,-44.260635,775956S47082P18:50:006116575,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,19:00:00,2.0,2,0.0,7,2023-07-26137898704519:17:46,200ME60172N91460,200ME60172N91460,2,,2023-07-26 19:17:46,2023-07-26 04:30:00,2023-07-27 04:29:59,6116575.0,6116575.0,19,casa,
-19.497698,-44.240623,2023-07-26,07:54:14,1379048389,16215,URBANO - VALE TRANSPORTE, ,4.25,011,,688,803394S47082P07:50:00,Vale Transporte,-19.462975,-44.24472,803394S47082P07:50:006116005,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,07:30:00,66.0,1,0.0,7,2023-07-26137904838907:54:14,200ME60172N91422,200ME60168N91462,1,,2023-07-26 07:54:14,2023-07-26 04:30:00,2023-07-27 04:29:59,6116005.0,6116422.0,07,trabalho,
-19.462975,-44.24472,2023-07-26,18:16:10,1379048389,11149,URBANO - VALE TRANSPORTE, ,4.25,011,,688,803395S47082P18:10:00,Vale Transporte,-19.497698,-44.240623,803395S47082P18:10:006116422,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,18:00:00,1.0,1,0.0,7,2023-07-26137904838918:16:10,200ME60168N91462,200ME60168N91462,2,,2023-07-26 18:16:10,2023-07-26 04:30:00,2023-07-27 04:29:59,6116422.0,6116422.0,18,casa,
-19.460909,-44.241383,2023-07-26,16:57:28,1379049237,14193,URBANO - VALE TRANSPORTE, ,4.25,053,,688,,Vale Transporte,-19.412504,-44.182278,,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,16:30:00,2.0,2,0.0,7,2023-07-26137904923716:57:28,200ME60172N91464,200ME60172N91464,2,,2023-07-26 16:57:28,2023-07-26 04:30:00,2023-07-27 04:29:59,,,16,casa,
